Q1gen,Q2age,Q3edu,Q4lon,Q5fPo,Q6fRe,Q7noC,Q8noT,Q9_1pPo.sel,Q9_2pPo.pub,Q9_3pPo.edi,Q9_4pPo.rev,Q9_5pPo.pFb,Q9_6pPo.del,Q10_1emo.edi,Q10_2emo.rev,Q10_3emo.pFb,Q10_4emo.0Fb,Q10_5emo.nFb,Q10_6emo.del,Q10_7emo.Re.ing,Q10_8emo.Re.ed,Q11_1iMa.awa,Q11_2iMa.lik,Q11_3iMa.fri,Q11_4iMa.des,Q11_5iMa.com,Q11_6iMa.ski,Q11_7iMa.int,Q11_8iMa.sat,Q11_9iMa.pro.self,Q11_10iMa.pro.fri,Q12_1att.des,Q12_2att.eas,Q12_3att.dis,Q12_4att.dem,Q12_5att.p.a,Q12_6att.p.fri,Q12_7att.n.dis,Q12_8att.n.fri
2,2,2,1,4,1,2,2,100,100,100,100,74,100,3,3,4,2,2,3,3,3,5,4,4,4,4,4,4,2,3,3,4,2,2,3,3,3,3,3
2,2,2,2,3,1,4,2,2,50,100,95,57,3,4,5,5,2,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,2,4
2,2,1,4,2,1,9,2,2,10,20,30,100,20,4,3,3,3,2,,3,3,5,4,4,3,3,3,4,4,2,4,4,2,3,4,4,4,4,5
2,4,1,2,2,1,11,2,50,88,70,62,50,19,4,4,5,3,2,,4,4,5,5,5,5,5,4,5,4,4,3,5,5,2,2,5,5,1,1
1,3,2,2,2,1,9,3,70,32,90,87,88,13,1,3,3,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
2,4,1,2,3,1,5,1,0,47,0,31,50,0,4,5,5,3,3,,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3
2,2,2,3,3,1,2,2,50,21,21,21,72,42,,3,5,2,4,3,3,3,4,4,4,3,3,4,4,3,3,4,3,4,3,4,2,2,2,2
1,2,2,5,2,1,5,2,10,36,74,75,73,30,4,4,4,2,3,3,4,3,5,5,5,5,5,5,5,4,4,4,5,3,2,2,3,3,3,3
2,2,2,2,2,1,2,2,23,19,10,28,28,50,,,4,3,2,,,,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,4,3,2,5,2,2,2,4,3,34,0,3,2,4,2,2,,3,3,3,4,5,4,4,4,5,4,3,3,4,4,3,4,3,3,3,2
2,2,1,3,2,1,3,2,29,20,59,42,26,0,2,3,5,3,2,2,5,3,5,5,4,5,5,4,5,4,3,5,4,2,1,3,3,4,1,2
2,2,1,4,5,1,5,2,34,39,26,79,30,81,3,3,3,5,4,2,2,4,3,2,3,2,5,2,3,3,2,5,3,4,2,3,3,3,3,3
1,2,3,1,4,2,2,2,0,50,50,50,54,0,3,3,4,,3,,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3
2,2,2,1,4,1,4,2,41,77,14,73,81,67,,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,2,2,4,4,4,4
1,2,1,1,4,1,3,2,1,100,6,50,50,50,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,4,2,2,3,3
1,2,1,2,3,1,5,2,83,22,87,87,87,88,4,4,4,2,2,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,4,1,1,4,2,0,0,65,100,100,75,4,5,5,,3,3,5,5,4,4,4,4,3,3,3,3,2,5,3,3,3,3,3,2,3,3
1,2,2,3,4,1,2,7,37,39,65,70,26,0,4,4,5,2,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,4,4,2,2
2,2,2,2,3,1,3,2,10,70,89,81,70,20,5,5,5,3,,3,4,4,5,5,5,5,4,5,5,5,5,5,5,5,2,5,4,4,3,2
2,2,2,5,4,1,3,2,50,64,52,38,70,0,3,4,4,3,2,,4,3,4,3,2,3,3,4,3,4,3,3,4,2,2,4,2,2,2,2
2,2,2,2,3,1,3,2,62,43,78,77,88,16,4,5,5,2,2,3,3,3,5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4
